"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath"
"ariadne BugSigDB graph v1","Graph of BugSigDB feature mappings based on v1","3.23",NA,"TSV","https://zenodo.org/records/","v1",NA,NA,FALSE,"BugSigDB","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","BugSigDB.gml"
"ariadne ChocoPhlAn graph v1","Graph of ChocoPhlAn feature mappings based on v201901b","3.23",NA,"TSV","https://zenodo.org/records/","v201901b",NA,NA,FALSE,"bioBakery","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","ChocoPhlAn.gml"
"ariadne GM graph v1","Graph of GM feature mappings based on v1","3.23",NA,"TSV","https://github.com/","v1",NA,NA,FALSE,"Raes Lab","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","GM.gml"
"ariadne GO graph v1","Graph of GO feature mappings based on v2026-01-23","3.23",NA,"TSV","https://release.geneontology.org/","v2026-01-23",NA,NA,FALSE,"Gene Onthology","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","GO.gml"
"ariadne KEGG graph v1","Graph of KEGG feature mappings based on v117","3.23",NA,"TSV","https://www.kegg.jp/","v117",NA,NA,FALSE,"Kyoto Encyclopedia of Genes and Genomes","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","KEGG.gml"
"ariadne OTT graph v1","Graph of OTT feature mappings based on v3.7","3.23",NA,"TSV","https://opentreeoflife.github.io/","v3.7",NA,NA,FALSE,"Open Tree Taxonomy","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","OTT.gml"
"ariadne Rhea graph v1","Graph of Rhea feature mappings based on v140","3.23",NA,"TSV","https://www.rhea-db.org","v140",NA,NA,FALSE,"Swiss Institute of Bioinformatics","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","Rhea.gml"
"ariadne TIGRFAMs graph v1","Graph of TIGRFAMs feature mappings based on v15","3.23",NA,"TSV","https://ftp.ncbi.nlm.nih.gov/","v15",NA,NA,FALSE,"NCBI","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","TIGRFAMs.gml"
"ariadne UniProt graph v1","Graph of UniProt feature mappings based on v2026_01","3.23",NA,"TSV","https://www.uniprot.org","v2026_01",NA,NA,FALSE,"UniProt","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","UniProt.gml"
"ariadne WoL graph v1","Graph of WoL feature mappings based on v20April2021","3.23",NA,"TSV","https://ftp.microbio.me/pub/","v20April2021",NA,NA,FALSE,"Web of Life","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788726/","WoL.gml"
"ariadne WoL graph v2","Graph of WoL feature mappings based on v2","3.23",NA,"TSV","https://ftp.microbio.me/pub/","v2",NA,NA,FALSE,"Web of Life","Giulio Benedetti <giulio.benedetti@utu.fi>","igraph","FilePath","https://zenodo.org/records/18788725/","WoL.gml"
